,ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
0,123499516,20190415,92455.0,3127-00067-1,665-070126,18503103+4254437,,J185031.03+425444.0,2105159257858400640,52393642,7339102,STAR,tmgaia2,282.629338174001,42.9121456804191,tmgaia2,5.84112,0.0485072,22.1663,0.0494539,gaia2,2.78844,0.0270906,gaia2,72.4734624905816,18.2453468998922,292.590987296349,65.3639768856414,8.568,0.018,7.31,0.03,,,,,,,,,,,5.099,0.037,4.812,0.258,4.375,0.024,EDA-131-111-000-0-0,,4.377,0.266,4.162,0.141,4.366,0.015,4.286,0.026,6.92801,0.000254,6.233,0.0067,rered,gaia2,4548.0,122.0,,,,,23.8475,,,,,,GIANT,,,354.985,3.4395,0.0360706,0.00551624,,,,,,0.00388307,0.00714941,panstarrs,,,,,,,,,,,3.407,3.472,bj2018,,,dered,7.58695,0.001345,6.19583,0.003309,1,,hipvmag,tycho2b3,,0.808185722652178,0.766982077372134,282.629372512225,42.9122411186611,0.0233947254358527,0.0261708024976472,0,0,221291921
1,164463140,20190415,92713.0,3127-01282-1,665-070450,18532851+4254092,,J185328.63+425409.5,2104983267278926336,,7340766,STAR,tmgaia2,283.368862993201,42.902613321208,tmgaia2,26.6411,0.0660176,-2.99668,0.0902334,gaia2,2.48611,0.0421699,gaia2,72.6649553980525,17.7351285217724,293.852390301192,65.2386777222089,8.217,0.014,6.61019,0.023,,,,,,,,,,,3.858,0.268,2.97,0.242,2.593,0.344,DDD-333-111-000-0-0,,1.431,,0.901,,2.621,0.01,2.433,0.017,5.92886,0.00166341,5.0333,0.0068,rered,gaia2,3960.0,122.0,,,,,65.3639,,,,,,GIANT,,,397.769,6.725,0.0382665,0.00595964,,,,,,0.00716168,0.0047576,panstarrs,,,,,,,,,,,6.614,6.836,bj2018,,,dered,6.89441,0.003713,4.98898,0.002025,1,,sirful,tycho2b3,,1.09986949885309,1.39969260253613,283.369019584163,42.9026004189426,0.0310237631988662,0.0548444239741991,0,0,224698045
2,122293849,20190415,95056.0,3138-01210-1,650-069451,19202710+3955343,,J192027.12+395534.0,2101141023898417920,,4830109,STAR,tmgaia2,290.112943223461,39.92619727682,tmgaia2,12.3165,0.0391113,-4.1359,0.0437163,gaia2,3.82415,0.0266786,gaia2,71.9007143220284,11.9160316330959,303.0439307181,61.0783261490518,7.611,0.021,6.81608,0.023,,,,,,,,,,,5.292,0.02,4.915,0.033,4.83,0.018,AAA-111-111-000-0-0,,4.885,0.18,4.634,0.106,4.825,0.015,4.765,0.029,6.5869,0.000206,6.06719,0.0062,rered,gaia2,5305.0,122.0,,,,,13.32,,,,,,GIANT,,,259.55,1.811,0.015772,0.004464455,,,,,,0.00472299,0.00420592,panstarrs,,,,,,,,,,,1.799,1.823,bj2018,,,dered,7.02853,0.001705,6.02539,0.003136,1,,sirful,tycho2b3,,0.645243452760188,0.678125272072066,290.113012373711,39.9261794694932,0.0184283234562332,0.0266182894978454,0,0,272768282
3,122304707,20190415,95064.0,3134-00858-1,643-068888,19203225+3825313,,J192032.27+382531.4,2052869611580098688,,3337423,STAR,tmgaia2,290.134356987233,38.4253904525098,tmgaia2,11.8638,0.05628,3.90023,0.0650952,gaia2,1.81976,0.033599,gaia2,70.5273907934624,11.250640267931,302.236192631755,59.6315493391578,9.699,0.023,8.38,0.03,,,,,,,,,,,6.063,0.024,5.359,0.018,5.224,0.024,AAA-111-111-000-0-0,,5.191,0.159,5.118,0.066,5.182,0.015,5.089,0.03,7.94027,0.000434,7.20014,0.0061,rered,gaia2,4411.0,122.0,,,,,25.1609,,,,,,GIANT,,,541.179,9.919,0.0431275,0.00741988,,,,,,0.00550351,0.00933625,panstarrs,,,,,,,,,,,9.741,10.097,bj2018,,,dered,8.65703,0.001789,7.15931,0.002197,1,,hipvmag,tycho2b3,,0.92416635400551,1.00959239097273,290.134422189006,38.4254072451849,0.0262995976065316,0.035285046615696,0,0,272772390
4,271545295,20190415,96825.0,3556-03772-1,678-074576,19405016+4531295,,J194050.25+453131.0,2079990268465009024,,9163520,STAR,tmgaia2,295.209097746129,45.5249390778448,tmgaia2,84.3605,0.39983,120.24,0.353642,gaia2,19.7308,0.162134,gaia2,78.7160590966663,11.0702563360323,315.064367425109,65.0687969823404,5.452,0.183804,5.066,0.028,,,,,,,,,,,4.419,0.254,4.219,0.218,4.142,0.278,DDD-333-111-000-0-0,,4.099,0.304,3.816,0.176,4.113,0.014,4.064,0.021,4.967,0.00395153,4.6882,0.0077,gbprp,spect,6970.42,123.667,3.66474,0.0872574,,,3.01307,0.122598,1.53,0.26792,0.0559323,0.0128308,DWARF,19.3085613,0.8272085,50.6145,0.4185,0.0,0.0,551.0,0.00208524056,,,0.00239651953,0.0,0.0,,0.184487,0.351354,0.106771,0.138425,0.0110132,0.0146483,0.0800963,0.0944185,0.997947,0.65647,0.4151,0.4219,bj2018,146.102,101.232,spect,5.19826,0.003259,4.6692,0.008324,1,,mermil,mermil,,6.72247731521297,5.48347502168295,295.209616186712,45.5254567790184,0.149215707490872,0.148973984372418,1,0,322510543
5,184089997,20190415,,3140-02922-1,650-075437,19423656+3959528,,J194236.55+395952.4,2076372669064227200,50887662,4850372,STAR,tmgaia2,295.652355632613,39.9979897758127,tmgaia2,-6.52909,0.0552784,-40.7382,0.0511552,gaia2,6.95127,0.0328119,gaia2,73.931736870762,8.17062573450148,311.269404788425,59.8155039673168,8.66,0.029,8.26,0.002,,,,,,,,,,,7.36,0.019,7.156,0.02,7.111,0.015,AAA-111-111-000-0-0,,7.036,0.048,7.1,0.02,7.108,0.017,7.014,0.07,8.15885,0.000313,7.83395,0.0061,rered,gaia2,6547.0,134.001,3.85505,0.0841747,,,2.27593,0.0979524,1.353,0.215942,0.114768,0.0256718,DWARF,8.573957,0.3820555,143.267,0.6785,0.0198796,0.009743005,1056.0,0.009448849,,,0.000230595586,0.0101622,0.00932381,panstarrs,0.203689,0.228195,0.0851618,0.110743,0.0204072,0.0309363,0.0854299,0.0829195,0.471175,0.292936,0.675,0.682,bj2018,108.161,159.841,dered,8.40947,0.001219,7.79315,0.001027,1,,tycho2v3,tycho2b3,,0.912165519632622,0.793475490566002,295.652318936919,39.9978143752337,0.025913028889071,0.0300676506830446,1,0,326675728
6,269270680,20190415,98383.0,3558-02565-1,679-075677,19592041+4546210,,J195920.50+454621.0,2085224321778525696,,9305008,STAR,tmgaia2,299.835106621554,45.7725186383081,tmgaia2,8.0,1.1,-13.7,1.1,tycho2,7.2,0.4,hip,80.5326009344671,8.36639209469282,322.10491963318,63.912736899659,6.094,0.022,5.93436,0.023,,,,,,,,,,,5.517,0.02,5.413,0.044,5.424,0.016,AAA-111-111-000-0-0,,5.474,0.147,5.305,0.064,5.459,0.014,5.431,0.033,5.89223,0.00132271,5.7743,0.0061,gbprp,hplx,,,,,,,,,,,,,DWARF,,,138.889,,,,,,,,,,,,,,,,,,,,,,,,hip,,,,5.98957,0.003069,5.74399,0.003258,0,,sirful,tycho2b3,,18.5099233860333,17.0546842211671,299.835156003642,45.7724596522071,0.327037140319129,0.399692236257112,1,0,366509567
7,123362819,20190415,92116.0,3130-01267-1,668-070399,18462811+4333390,,J184628.10+433338.9,2117257184298759424,,7800227,STAR,tmgaia2,281.617093656253,43.5608272006651,tmgaia2,-2.45115,0.0416358,0.182578,0.0443057,gaia2,2.28028,0.0219693,gaia2,72.8502956870469,19.16033242508,291.15379439717,66.149114951115,8.7,0.016,7.19,0.03,,,,,,,,,,,4.893,0.218,3.974,0.238,3.719,0.36,DDD-333-111-000-0-0,,3.513,0.448,3.286,0.345,3.495,0.013,3.393,0.025,6.60027,0.000334,5.7636,0.0062,rered,gaia2,4024.0,122.0,,,,,48.3778,,,,,,GIANT,,,433.094,4.1525,0.0194511,0.002966165,,,,,,0.00401269,0.00191964,panstarrs,,,,,,,,,,,4.114,4.191,bj2018,,,dered,7.47923,0.002426,5.72552,0.002505,1,,hipvmag,tycho2b3,,0.695222419598495,0.687072053472354,281.617079092447,43.5608279867657,0.0188550943222342,0.021411335829279,0,0,216697915
8,120319183,20190415,93222.0,3127-02167-1,659-068740,18592144+4138130,,J185921.51+413812.4,2104055760501638016,51713647,6267345,STAR,tmgaia2,284.839352064785,41.6369228095301,tmgaia2,-4.42089,0.0548119,-12.0359,0.0578851,gaia2,1.67341,0.0368579,gaia2,71.8503770546794,16.2589732645624,295.653656788745,63.7605110133776,9.402,0.019,7.83389,0.023,,,,,,,,,,,4.077,0.248,3.183,0.202,2.799,0.292,DCD-333-111-000-0-0,,1.838,,1.723,,2.86,0.011,2.676,0.02,6.78427,0.001463,5.7103,0.0065,rered,gaia2,3603.0,122.0,,,,,90.3396,,,,,,GIANT,,,587.767,12.8365,0.0496377,0.004955575,,,,,,0.0051407,0.00477045,panstarrs,,,,,,,,,,,12.561,13.112,bj2018,,,dered,8.11153,0.006005,5.66863,0.004061,1,,sirful,tycho2b3,,0.90929696822578,0.897914077375194,284.839326596295,41.6368709882964,0.0259337216005061,0.0353223253147829,0,0,232355687
9,120422800,20190415,93309.0,3124-00983-1,654-068066,19001907+4041023,,J190019.08+404102.4,2103815448491466496,,5429948,STAR,tmgaia2,285.079423379764,40.6839975920158,tmgaia2,2.05262,0.263086,-14.731,0.271431,gaia2,3.44278,0.148566,gaia2,71.0045486724981,15.7301707497951,295.561023546312,62.791492427004,8.069,0.016,6.60577,0.023,,,,,,,,,,,2.258,0.266,1.39,0.204,1.221,0.208,DCC-333-111-000-0-0,,-1.389,,-0.581,,1.112,0.011,0.964,0.014,5.25913,0.00358063,4.1091,0.0073,rered,gaia2,3398.0,122.0,,,,,107.419,,,,,,GIANT,,,288.92,12.5315,0.0362582,0.00614635,,,,,,0.00740416,0.00488854,panstarrs,,,,,,,,,,,11.998,13.065,bj2018,,,dered,6.82238,0.006035,4.0976,0.006285,1,,sirful,tycho2b3,,4.3507051863177,4.20941427296929,285.079435034093,40.683934166877,0.119418915563517,0.137115870333613,0,0,233397685
